id,id_transfermarkt,club_tm,nome,cognome,data_nascita,scadenza_contratto,id_giocatore,aggiornato_il,valore_mercato
8750,338670.0,Associazione Sportiva Roma,Mile,Svilar,1999-08-27,2030-06-30,,2026-09-21 22:25:32.098012+00:00,35000000.0
8751,495722.0,Associazione Sportiva Roma,Devis,Vásquez,1998-05-12,2027-06-30,,2026-09-21 22:25:32.098012+00:00,1500000.0
8752,371149.0,Associazione Sportiva Roma,Evan,Ndicka,1999-08-20,2028-06-30,,2026-09-21 22:25:32.098012+00:00,35000000.0
8753,281769.0,Associazione Sportiva Roma,Mario,Hermoso,1995-06-18,2027-06-30,,2026-09-21 22:25:32.098012+00:00,7000000.0
8754,964580.0,Associazione Sportiva Roma,,Wesley,2003-09-06,2030-06-30,,2026-09-21 22:25:32.098012+00:00,40000000.0
8755,244192.0,Associazione Sportiva Roma,Pierluigi,Gollini,1995-03-18,2027-06-30,,2026-09-21 22:25:32.098012+00:00,800000.0
8756,256448.0,Associazione Sportiva Roma,Gianluca,Mancini,1996-04-17,2029-06-30,,2026-09-21 22:25:32.098012+00:00,15000000.0
8757,942004.0,Associazione Sportiva Roma,Giorgio,De Marzi,2007-04-18,2027-06-30,,2026-09-21 22:25:32.098012+00:00,100000.0
8758,575998.0,Associazione Sportiva Roma,Leonardo,Balerdi,1999-01-26,2027-06-30,,2026-09-21 22:25:32.098012+00:00,18000000.0
8759,424042.0,Associazione Sportiva Roma,Nahuel,Molina,1998-04-06,2030-06-30,,2026-09-21 22:25:32.098012+00:00,15000000.0
8760,701819.0,Associazione Sportiva Roma,Daniele,Ghilardi,2003-01-06,2030-06-30,,2026-09-21 22:25:32.098012+00:00,18000000.0
8761,557407.0,Associazione Sportiva Roma,Devyne,Rensch,2003-01-18,2029-06-30,,2026-09-21 22:25:32.098012+00:00,8500000.0
8762,957653.0,Associazione Sportiva Roma,Rodrigo,Mora,2007-05-05,2031-06-30,,2026-09-21 22:25:32.098012+00:00,38000000.0
8763,133179.0,Associazione Sportiva Roma,Marten,de Roon,1991-03-29,2028-06-30,,2026-09-21 22:25:32.098012+00:00,3200000.0
8764,813137.0,Associazione Sportiva Roma,Niccolò,Pisilli,2004-09-23,2029-06-30,,2026-09-21 22:25:32.098012+00:00,30000000.0
8765,326029.0,Associazione Sportiva Roma,Donyell,Malen,1999-01-19,2030-06-30,,2026-09-21 22:25:32.098012+00:00,45000000.0
8766,199248.0,Associazione Sportiva Roma,Bryan,Cristante,1995-03-03,2028-06-30,,2026-09-21 22:25:32.098012+00:00,7000000.0
8767,849520.0,Associazione Sportiva Roma,Santiago,Castro,2004-09-18,2031-06-30,,2026-09-21 22:25:32.098012+00:00,32000000.0
8768,1251220.0,Associazione Sportiva Roma,Antonio,Arena,2009-02-10,2028-06-30,,2026-09-21 22:25:32.098012+00:00,4000000.0
8769,286297.0,Associazione Sportiva Roma,Lorenzo,Pellegrini,1996-06-19,2027-06-30,,2026-09-21 22:25:32.098012+00:00,8000000.0
