id,id_transfermarkt,club_tm,nome,cognome,data_nascita,scadenza_contratto,id_giocatore,aggiornato_il,valore_mercato
7589,939745.0,Associazione Calcio Milan,Lorenzo,Torriani,2005-01-31,2030-06-30,,2026-09-17 22:25:13.096002+00:00,800000.0
7590,323167.0,Associazione Calcio Milan,Matteo,Gabbia,1999-10-21,2029-06-30,,2026-09-17 22:25:13.096002+00:00,17000000.0
7591,574671.0,Associazione Calcio Milan,Strahinja,Pavlović,2001-05-24,2028-06-30,,2026-09-17 22:25:13.096002+00:00,40000000.0
7592,182906.0,Associazione Calcio Milan,Mike,Maignan,1995-07-03,2031-06-30,,2026-09-17 22:25:13.096002+00:00,20000000.0
7593,1179195.0,Associazione Calcio Milan,Sankhoun,Diawara,2006-01-13,2031-06-30,,2026-09-17 22:25:13.096002+00:00,2000000.0
7594,631007.0,Associazione Calcio Milan,Filippo,Terracciano,2003-02-08,2028-06-30,,2026-09-17 22:25:13.096002+00:00,4500000.0
7595,490384.0,Associazione Calcio Milan,Koni,De Winter,2002-06-12,2030-06-30,,2026-09-17 22:25:13.096002+00:00,23000000.0
7596,303254.0,Associazione Calcio Milan,Fikayo,Tomori,1997-12-19,2027-06-30,,2026-09-17 22:25:13.096002+00:00,17000000.0
7597,618341.0,Associazione Calcio Milan,Mario,Gila,2000-08-29,2031-06-30,,2026-09-17 22:25:13.096002+00:00,30000000.0
7598,96254.0,Associazione Calcio Milan,Pietro,Terracciano,1990-03-08,2027-06-30,,2026-09-17 22:25:13.096002+00:00,900000.0
7599,1136279.0,Associazione Calcio Milan,Valeri,Vladimirov,2008-06-05,2029-06-30,,2026-09-17 22:25:13.096002+00:00,150000.0
7600,887638.0,Associazione Calcio Milan,Davide,Bartesaghi,2005-12-29,2030-06-30,,2026-09-17 22:25:13.096002+00:00,22000000.0
7601,349599.0,Associazione Calcio Milan,Pervis,Estupiñán,1998-01-21,2030-06-30,,2026-09-17 22:25:13.096002+00:00,12000000.0
7602,608172.0,Associazione Calcio Milan,Ardon,Jashari,2002-07-30,2030-06-30,,2026-09-17 22:25:13.096002+00:00,25000000.0
7603,182913.0,Associazione Calcio Milan,Adrien,Rabiot,1995-04-03,2028-06-30,,2026-09-17 22:25:13.096002+00:00,18000000.0
7604,503991.0,Associazione Calcio Milan,Yunus,Musah,2002-11-29,2028-06-30,,2026-09-17 22:25:13.096002+00:00,14000000.0
7605,202886.0,Associazione Calcio Milan,Ruben,Loftus-Cheek,1996-01-23,2027-06-30,,2026-09-17 22:25:13.096002+00:00,8500000.0
7606,659516.0,Associazione Calcio Milan,Warren,Bondo,2003-09-15,2029-06-30,,2026-09-17 22:25:13.096002+00:00,6000000.0
7607,1058363.0,Associazione Calcio Milan,Christian,Comotto,2008-04-25,2031-06-30,,2026-09-17 22:25:13.096002+00:00,5000000.0
7608,27992.0,Associazione Calcio Milan,Luka,Modrić,1985-09-09,2027-06-30,,2026-09-17 22:25:13.096002+00:00,3500000.0
7609,381950.0,Associazione Calcio Milan,Alexis,Saelemaekers,1999-06-27,2031-06-30,,2026-09-17 22:25:13.096002+00:00,20000000.0
7610,655006.0,Associazione Calcio Milan,Diego,Moreira,2004-08-06,2031-06-30,,2026-09-17 22:25:13.096002+00:00,25000000.0
7611,964087.0,Associazione Calcio Milan,Alphadjo,Cisse,2006-10-22,2030-06-30,,2026-09-17 22:25:13.096002+00:00,7000000.0
7612,315779.0,Associazione Calcio Milan,Christian,Pulisic,1998-09-18,2027-06-30,,2026-09-17 22:25:13.096002+00:00,40000000.0
7613,741238.0,Associazione Calcio Milan,Omari,Hutchinson,2003-10-30,2027-06-30,,2026-09-17 22:25:13.096002+00:00,30000000.0
7614,401922.0,Associazione Calcio Milan,Samuel,Chukwueze,1999-05-22,2028-06-30,,2026-09-17 22:25:13.096002+00:00,18000000.0
7615,550550.0,Associazione Calcio Milan,Gonçalo,Ramos,2001-06-20,2031-06-30,,2026-09-17 22:25:13.096002+00:00,50000000.0
7616,1058368.0,Associazione Calcio Milan,Francesco,Camarda,2008-03-10,2031-06-30,,2026-09-17 22:25:13.096002+00:00,15000000.0
7617,948278.0,Calcio Como,Jacobo,Ramón,2005-01-06,2030-06-30,,2026-09-17 22:25:13.096002+00:00,30000000.0
